time_s,odrive_pos_rad,output_pos_rad,diff_rad,odrive_disp_rad,output_disp_rad,motor_on_output_side_rad,backlash_rad
20.074393,7.520488,4.79484,2.725648,-3.678837999999999,-0.263077,-0.2627741428571428,0.00030285714285721577
20.078646,7.558229,4.79369,2.764539,-3.6410969999999994,-0.261927,-0.2600783571428571,0.0018486428571429236
20.081049,7.578894,4.789472,2.789423,-3.620431999999999,-0.2577090000000002,-0.2586022857142857,-0.0008932857142854855
20.085171,7.621482,4.787554,2.833928,-3.577843999999999,-0.2557910000000003,-0.25556028571428563,0.00023071428571469488
20.088584,7.651289,4.785253,2.866036,-3.548036999999999,-0.2534900000000002,-0.2534312142857142,5.878571428602486e-05
20.091263,7.683146,4.782569,2.900577,-3.5161799999999994,-0.25080599999999986,-0.25115571428571426,-0.00034971428571439755
20.094684,7.715774,4.780651,2.935122,-3.4835519999999995,-0.248888,-0.24882514285714283,6.285714285717003e-05
20.09769,7.752791,4.779117,2.973674,-3.446534999999999,-0.24735400000000052,-0.24618107142857135,0.0011729285714291715
20.100637,7.770795,4.776049,2.994745,-3.4285309999999996,-0.24428600000000067,-0.2448950714285714,-0.0006090714285707233
20.104795,7.813825,4.774132,3.039693,-3.3855009999999996,-0.24236900000000006,-0.24182149999999997,0.0005475000000000896
20.108074,7.851874,4.771447,3.080427,-3.3474519999999997,-0.23968400000000045,-0.23910371428571425,0.0005802857142861995
20.110912,7.877185,4.768763,3.108422,-3.3221409999999993,-0.2370000000000001,-0.23729578571428567,-0.000295785714285568
20.114409,7.913455,4.767229,3.146226,-3.2858709999999993,-0.23546600000000062,-0.2347050714285714,0.0007609285714292313
20.118745,7.957796,4.764544,3.193252,-3.241529999999999,-0.23278100000000013,-0.23153785714285707,0.0012431428571430536
20.120898,7.980824,4.762627,3.218197,-3.218501999999999,-0.2308640000000004,-0.22989299999999993,0.0009710000000004715
20.12434,8.013986,4.760709,3.253277,-3.18534,-0.22894600000000054,-0.2275242857142857,0.0014217142857148313
20.128667,8.056216,4.758408,3.297808,-3.14311,-0.22664500000000043,-0.22450785714285715,0.0021371428571432816
20.130234,8.071608,4.75534,3.316267,-3.1277179999999998,-0.22357700000000058,-0.22340842857142856,0.00016857142857201746
20.133574,8.10856,4.753423,3.355137,-3.0907659999999986,-0.22165999999999997,-0.2207689999999999,0.0008910000000000584
20.13681,8.143369,4.750739,3.392631,-3.0559569999999994,-0.2189760000000005,-0.2182826428571428,0.0006933571428577034
20.139944,8.182481,4.746904,3.435578,-3.016845,-0.21514100000000003,-0.21548892857142857,-0.0003479285714285407
20.142779,8.214312,4.744603,3.469709,-2.9850139999999996,-0.21283999999999992,-0.2132152857142857,-0.0003752857142857724
20.146242,8.254123,4.742685,3.511438,-2.9452029999999993,-0.21092200000000005,-0.2103716428571428,0.0005503571428572551
20.149749,8.291677,4.739234,3.552443,-2.9076489999999993,-0.20747099999999996,-0.20768921428571424,-0.00021821428571427992
20.152477,8.327039,4.7377,3.58934,-2.872287,-0.20593700000000048,-0.20516335714285713,0.0007736428571433474
20.155508,8.360345,4.735015,3.62533,-2.8389809999999986,-0.203252,-0.20278435714285706,0.0004676428571429303
20.158636,8.395078,4.731947,3.663131,-2.8042479999999994,-0.20018400000000014,-0.20030342857142852,-0.00011942857142838159
20.158636,8.395078,4.729263,3.665816,-2.8042479999999994,-0.19750000000000068,-0.20030342857142852,-0.002803428571427846
20.164496,8.471353,4.726578,3.744775,-2.7279729999999986,-0.19481500000000018,-0.1948552142857142,-4.021428571401864e-05
20.16874,8.516296,4.723894,3.792402,-2.6830299999999987,-0.19213099999999983,-0.1916449999999999,0.00048599999999993093
20.171469,8.552874,4.720059,3.832815,-2.646452,-0.18829600000000024,-0.1890322857142857,-0.0007362857142854673
20.174856,8.592065,4.717758,3.874307,-2.6072609999999994,-0.18599500000000013,-0.18623292857142854,-0.00023792857142840296
20.177821,8.640398,4.714306,3.926091,-2.558928,-0.1825429999999999,-0.18278057142857143,-0.00023757142857153135
20.181037,8.667928,4.712389,3.955539,-2.5313979999999994,-0.18062600000000018,-0.1808141428571428,-0.0001881428571426369
20.184911,8.722075,4.709321,4.012754,-2.477250999999999,-0.17755800000000033,-0.17694649999999992,0.0006115000000004034
20.187943,8.768009,4.70702,4.060989,-2.431317,-0.17525700000000022,-0.1736655,0.0015915000000002177
20.190711,8.793373,4.703569,4.089805,-2.4059529999999985,-0.17180600000000013,-0.1718537857142856,-4.77857142854865e-05
20.194121,8.833896,4.700884,4.133012,-2.36543,-0.16912100000000052,-0.1689592857142857,0.00016171428571482016
20.197201,8.873366,4.6982,4.175166,-2.3259599999999985,-0.16643700000000017,-0.1661399999999999,0.00029700000000026927
20.200186,8.912082,4.695515,4.216566,-2.2872439999999994,-0.16375200000000056,-0.1633745714285714,0.00037742857142916697
20.203166,8.951292,4.692447,4.258845,-2.2480339999999988,-0.16068399999999983,-0.16057385714285705,0.00011014285714278094
20.206115,8.989868,4.688612,4.301256,-2.2094579999999997,-0.15684900000000024,-0.15781842857142855,-0.0009694285714283157
20.209866,9.03795,4.685928,4.352022,-2.161375999999999,-0.15416499999999989,-0.1543839999999999,-0.00021900000000002473
20.213661,9.087036,4.681326,4.40571,-2.11229,-0.14956300000000056,-0.15087785714285712,-0.0013148571428565625
20.217814,9.156852,4.678641,4.47821,-2.0424739999999986,-0.14687800000000006,-0.1458909999999999,0.0009870000000001544
20.221005,9.191286,4.675573,4.515712,-2.0080399999999994,-0.14381000000000022,-0.14343142857142852,0.0003785714285717001
20.223972,9.232032,4.672889,4.559143,-1.967293999999999,-0.14112599999999986,-0.14052099999999992,0.0006049999999999389
20.226861,9.272113,4.668671,4.603443,-1.927213,-0.13690800000000003,-0.13765807142857142,-0.0007500714285713916
20.23026,9.315351,4.665986,4.649365,-1.8839749999999995,-0.13422300000000043,-0.13456964285714282,-0.00034664285714239296
20.233132,9.357405,4.662918,4.694487,-1.8419209999999993,-0.13115500000000058,-0.13156578571428565,-0.0004107857142850724
20.236473,9.402448,4.659467,4.742982,-1.7968779999999995,-0.12770400000000048,-0.12834842857142853,-0.0006444285714280462
20.239825,9.446754,4.656782,4.789972,-1.752571999999999,-0.125019,-0.1251837142857142,-0.00016471428571421254
20.242972,9.491741,4.653331,4.83841,-1.707585,-0.1215679999999999,-0.12197035714285713,-0.000402357142857232
20.245967,9.535024,4.649496,4.885528,-1.6643019999999993,-0.11773300000000031,-0.11887871428571424,-0.0011457142857139307
20.249867,9.585378,4.646044,4.939333,-1.6139479999999988,-0.11428100000000008,-0.11528199999999991,-0.0010009999999998354
20.252967,9.628191,4.642593,4.985598,-1.571135,-0.11082999999999998,-0.11222392857142857,-0.0013939285714285876
20.256095,9.674026,4.639525,5.034501,-1.5252999999999997,-0.10776200000000014,-0.10894999999999998,-0.001187999999999842
20.259854,9.72161,4.63684,5.08477,-1.4777159999999991,-0.10507700000000053,-0.1055511428571428,-0.00047414285714227067
20.262325,9.763353,4.632238,5.131115,-1.4359729999999988,-0.10047500000000031,-0.10256949999999991,-0.0020944999999995967
20.265971,9.811907,4.629554,5.182353,-1.3874189999999995,-0.09779099999999996,-0.0991013571428571,-0.0013103571428571409
20.269228,9.858642,4.625336,5.233307,-1.3406839999999995,-0.09357300000000013,-0.09576314285714282,-0.002190142857142696
20.272026,9.902226,4.622651,5.279575,-1.2970999999999986,-0.09088800000000052,-0.0926499999999999,-0.0017619999999993752
20.275557,9.95284,4.619583,5.333256,-1.246485999999999,-0.08782000000000068,-0.08903471428571422,-0.0012147142857135418
20.27858,9.99482,4.616515,5.378305,-1.2045059999999985,-0.08475199999999994,-0.08603614285714276,-0.001284142857142817
20.281276,10.038907,4.612297,5.42661,-1.1604189999999992,-0.0805340000000001,-0.08288707142857137,-0.00235307142857126
20.284878,10.092359,4.609996,5.482363,-1.1069669999999991,-0.078233,-0.07906907142857136,-0.0008360714285713666
20.288952,10.145954,4.605394,5.54056,-1.0533719999999995,-0.07363100000000067,-0.07524085714285711,-0.0016098571428564412
20.291871,10.192622,4.602326,5.590296,-1.0067039999999992,-0.07056299999999993,-0.07190742857142851,-0.0013444285714285797
20.295154,10.242433,4.599258,5.643175,-0.9568929999999991,-0.06749500000000008,-0.06834949999999994,-0.0008544999999998554
20.298281,10.286973,4.595039,5.691934,-0.9123529999999995,-0.06327600000000011,-0.0651680714285714,-0.0018920714285712847
20.301274,10.329233,4.591971,5.737262,-0.8700929999999989,-0.06020800000000026,-0.06214949999999992,-0.0019414999999996588
20.304897,10.379037,4.589671,5.789366,-0.8202889999999989,-0.05790800000000029,-0.058592071428571355,-0.000684071428571062
20.308054,10.433579,4.586219,5.847359,-0.7657469999999993,-0.05445600000000006,-0.05469621428571424,-0.00024021428571417702
20.31088,10.467896,4.581617,5.886279,-0.7314299999999996,-0.04985399999999984,-0.05224499999999997,-0.002391000000000129
20.31431,10.520992,4.578933,5.94206,-0.6783339999999995,-0.04717000000000038,-0.04845242857142854,-0.0012824285714281639
